,Aerolinea,Fecha Salida,Hora Salida,Vuelo Salida,Destino,%LF DEP,Mes,Dia Dep,categoria
5518,AVA,2025-02-09,10:08:00 a.m.,9557,BOG,70.72,febrero,domingo,AA
5519,AVA,2025-02-09,11:59:00 a.m.,9339,BOG,100.55,febrero,domingo,A
5520,AVA,2025-02-09,1:24:00 p.m.,9329,BOG,98.9,febrero,domingo,AA
5521,AVA,2025-02-09,2:14:00 p.m.,9337,BOG,87.85,febrero,domingo,AAA
5522,AVA,2025-02-09,3:55:00 p.m.,9311,BOG,101.66,febrero,domingo,AAA
5523,AVA,2025-02-09,5:55:00 p.m.,9313,BOG,101.66,febrero,domingo,AAA
5524,AVA,2025-02-09,8:33:00 p.m.,9375,BOG,57.46,febrero,domingo,AAA
5525,AVA,2025-02-09,6:14:00 p.m.,9343,BOG,101.66,febrero,domingo,AAA
5526,AVA,2025-02-09,7:37:00 p.m.,8415,BOG,83.98,febrero,domingo,AA
5527,AVA,2025-02-09,8:28:00 p.m.,9553,BOG,88.95,febrero,domingo,AA
5528,AVA,2025-02-09,8:16:00 p.m.,9261,BOG,98.34,febrero,domingo,A
5529,AVA,2025-02-09,8:48:00 p.m.,9315,BOG,65.75,febrero,domingo,A
5530,AVA,2025-02-09,9:48:00 p.m.,9569,BOG,84.53,febrero,domingo,A
5531,AVA,2025-02-09,10:09:00 p.m.,9335,BOG,90.06,febrero,domingo,AA
5532,AVA,2025-02-10,8:18:00 p.m.,8415,BOG,90.06,febrero,lunes,AA
5533,AVA,2025-02-10,5:55:00 a.m.,9245,BOG,96.69,febrero,lunes,AA
5534,AVA,2025-02-10,4:33:00 a.m.,9653,BOG,87.29,febrero,lunes,AA
5535,AVA,2025-02-10,4:59:00 a.m.,9725,BOG,92.82,febrero,lunes,AA
5536,AVA,2025-02-10,6:39:00 a.m.,8435,BOG,98.34,febrero,lunes,AA
5537,AVA,2025-02-10,8:33:00 a.m.,8451,BOG,100.0,febrero,lunes,AAA
5538,AVA,2025-02-10,9:08:00 a.m.,9307,BOG,101.66,febrero,lunes,AA
5539,AVA,2025-02-10,10:06:00 a.m.,9557,BOG,82.32,febrero,lunes,AA
5540,AVA,2025-02-10,11:09:00 a.m.,9349,BOG,97.79,febrero,lunes,AAA
